รหัสสินค้า,หมวดสินค้า,ชื่อสินค้า,ประเภทสินค้า,ประเภทสินค้าย่อย,หน่วยนับ,ราคาทุนต่อหน่วย,ราคาขายต่อหน่วย,ยอดยกมา,มูลค่ายกมา,รหัสร้านค้า,รูปสินค้า,flag_activate,admin_note
P230-000377,วัสดุใช้ไป,ตู้พลาสติก แบบกันน้ำ,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ตู้,125,,0,0,,,TRUE,
P230-000378,วัสดุใช้ไป,ท่อสายไฟ ชนิด PVC แบบท่อตรง ขนาด 1/2 นิ้ว สีเหลือง,วัสดุไฟฟ้า,วัสดุไฟฟ้า,เส้น,55,,0,0,,,TRUE,
P230-000379,วัสดุใช้ไป,เทป สำหรับฟันสายไฟ,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ม้วน,35,,0,0,,,TRUE,
P230-000380,วัสดุใช้ไป,แท่งกราวด์,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,95,,0,0,,,TRUE,
P230-000381,วัสดุใช้ไป,บัลลาส ชนิดหลอดฮาโลเจน ขนาด 12V 35 Watt,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,745,,0,0,,,TRUE,
P230-000382,วัสดุใช้ไป,เบรคเกอร์ ขนาด 30A,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,145,,0,0,,,TRUE,
P230-000383,วัสดุใช้ไป,แบตเตอรี่ แบบแห้ง ขนาด 12V 7.5A,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ลูก,600,,0,0,,,TRUE,
P230-000384,วัสดุใช้ไป,ปลั๊กไฟ แบบกราวคู่,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,55,,0,0,,,TRUE,
P230-000385,วัสดุใช้ไป,ปลั๊กไฟ แบบตุ๊กตา,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ตัว,85,,0,0,,,TRUE,
P230-000386,วัสดุใช้ไป,แป้นพลาสติก ขนาด 4*6 นิ้ว,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,20,,0,0,,,TRUE,
P230-000387,วัสดุใช้ไป,พุก ชนิดพลาสติก เบอร์ 7,วัสดุไฟฟ้า,วัสดุไฟฟ้า,กล่อง,20,,0,0,,,TRUE,
P230-000388,วัสดุใช้ไป,ไมล์สาย,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ตัว,490,,0,0,,,TRUE,
P230-000389,วัสดุใช้ไป,ปลั๊กไฟพ่วง ยาว 5 เมตร,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,240,,0,0,,,TRUE,
P230-000390,วัสดุใช้ไป,รางสายไฟ แบบมินิเท้งกิ้ง,วัสดุไฟฟ้า,วัสดุไฟฟ้า,เส้น,75,,0,0,,,TRUE,
P230-000391,วัสดุใช้ไป,รางสายไฟ ยาว 2 เมตร,วัสดุไฟฟ้า,วัสดุไฟฟ้า,เส้น,90,,0,0,,,TRUE,
P230-000392,วัสดุใช้ไป,ลูกเสียบ แบบตัวผู้,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ตัว,15,,0,0,,,TRUE,
P230-000393,วัสดุใช้ไป,ลูกเสียบ แบบตัวเมีย,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,14,,0,0,,,TRUE,
P230-000394,วัสดุใช้ไป,ไฟสนาม แบบสปอตไลท์ ขนาด 50W,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ชุด,460,,0,0,,,TRUE,
P230-000395,วัสดุใช้ไป,สวิทช์ไฟ แบบแสงแดด,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ตัว,180,,0,0,,,TRUE,
